  targetid        RA       DEC   zspec   log_mass   log_mass_u   log_mass_l   log_sfr_sed   log_sfr_sed_u   log_sfr_sed_l   log_sfr_ha   log_sfr_ha_err   E(B-V)   E(B-V)_err   12+logOH   12+logOH_u   12+logOH_l  
     70934   34.3722   -5.2088   3.009       9.74         0.03         0.03          1.57            0.05            0.06         1.17             0.05     0.18         0.03       8.37          0.1         0.11  
     71657   34.2787   -5.2084   6.817       8.66         0.09          0.1           0.4             0.1            0.09        -0.01             0.11      0.0         0.19       8.12         0.21         0.24  
     73535   34.3523   -5.2048    2.21       9.04         0.09         0.11          0.76            0.12            0.09         0.64             0.12     0.09         0.07       8.12         0.16         0.18  
     75319   34.3427   -5.2024   3.195       8.43         0.12         0.13         -0.04            0.12            0.11        -0.26             0.06     0.02         0.05       8.02         0.27         0.25  
     75487   34.3395   -5.2021   3.241       8.58         0.12         0.11          0.22            0.11            0.11        -0.18             0.04      0.0         0.01       7.92         0.25         0.23  
     78078   34.3448   -5.1977   3.239       9.12         0.02         0.02          0.99            0.03            0.03         0.77             0.06     0.18         0.05       8.27         0.12         0.12  
     79373   34.3532   -5.1957   3.995       9.39         0.05         0.03          1.24            0.05            0.05          0.9             0.05     0.06         0.04        8.3         0.12         0.15  
     83628   34.3401   -5.1892   3.464       8.74         0.06         0.04          0.58            0.02            0.02         0.27             0.04     0.01         0.02       7.81         0.17         0.14  
     87500   34.2693    -5.183   6.807       8.64         0.04         0.04           0.5            0.04            0.04         0.66             0.05     0.01         0.03       7.83         0.17         0.14  
     91807   34.2339   -5.1759   3.189       9.46         0.06         0.08          0.93            0.17            0.14          0.6             0.11     0.29          0.1       8.27         0.18         0.22  
     93404   34.2444   -5.1736   3.981       8.72         0.06         0.06           0.4            0.09            0.08         0.47             0.04      0.0         0.01       8.08         0.12         0.12  
     93897   34.2633   -5.1725    4.08       9.12         0.03         0.03          0.99            0.03            0.04         0.87             0.04      0.0         0.02       7.95         0.21         0.19  
     94335   34.2728   -5.1717   1.812       9.37         0.12         0.14          1.21            0.07            0.12         0.87             0.04     0.27         0.01       8.18         0.11         0.12  
     95839   34.3921   -5.1697   4.958       9.31         0.06         0.06          1.09            0.06            0.07          1.1             0.09     0.12         0.06       7.98         0.15         0.15  
     96066   34.2476   -5.1692   4.708       9.02         0.08         0.04          0.83            0.06            0.08         0.61             0.04     0.01         0.02       8.07         0.12         0.13  
     96409   34.3857   -5.1677   2.293      10.19         0.03         0.04          2.03            0.05            0.07         1.93             0.13     0.78         0.09       8.51         0.11         0.15  
     97592   34.3554   -5.1672   7.755       8.93         0.09          0.1          0.68            0.09            0.08         0.77             0.07      0.0         0.33       7.87         0.17         0.15  
    100458   34.3576   -5.1627   3.974        9.1         0.02         0.02           1.0            0.02            0.02         0.89             0.07     0.15         0.06       8.19         0.12         0.14  
    102088   34.3566   -5.1601   2.729       9.52         0.05         0.06          0.75            0.08            0.07         1.28             0.14     0.21         0.08       8.18         0.19         0.25  
    103425   34.3864   -5.1586   3.063       8.71         0.09         0.16          0.27            0.13            0.15         0.31             0.08      0.0         0.39       8.14         0.18         0.19  
    104937    34.358   -5.1563   1.652       8.95         0.09         0.14          0.05            0.11            0.09        -0.03             0.13     0.03          0.1       8.17         0.19         0.24  
    105273   34.2319   -5.1559   3.185       8.92         0.07         0.11          0.61            0.11            0.11         0.31             0.07      0.0          0.5       8.18         0.14         0.12  
    106215   34.2379   -5.1544   3.698       9.48         0.08         0.14          0.99            0.12             0.1         0.86             0.07     0.23         0.06       8.21         0.13         0.13  
    114836   34.2813   -5.1416   5.411       9.05         0.03         0.03          0.92            0.03            0.03         1.07             0.08     0.18         0.07       7.98         0.16         0.17  
    114961   34.2384   -5.1412   1.664       9.22         0.05         0.05         -0.08            0.13            0.12         0.25             0.09     0.33         0.08       8.36         0.14          0.2  
    115322    34.402   -5.1409   3.204       8.68         0.17         0.05          0.49            0.05            0.08         0.48             0.06      0.0         0.15       8.08         0.15         0.15  
    117175   34.2326    -5.138   6.283       8.59         0.06         0.06           0.4            0.05            0.05          0.4             0.05      0.0         0.01       7.78         0.17         0.16  
    117563   34.2865   -5.1372    3.89       9.19         0.06         0.06          0.95            0.08            0.12         0.64              0.1     0.02         0.08       8.24         0.15         0.16  
    118193   34.4008   -5.1358   2.205      10.13         0.08         0.06          1.21            0.08            0.07         1.24             0.17     0.37          0.1       8.49         0.14         0.21  
    119429   34.2852   -5.1343   2.911       8.96         0.05         0.05          0.73            0.08            0.11         0.66             0.11     0.18          0.1       8.04         0.23         0.24  
    119504   34.4025   -5.1345   7.917       8.64         0.05         0.05          0.51            0.04            0.05         0.62             0.05      0.0         0.02       7.83         0.12         0.12  
    119533   34.2791    -5.134   3.667       8.92         0.04         0.03          0.72            0.06            0.07         0.44             0.04      0.0          0.0       8.14         0.16         0.19  
    120715   34.3633   -5.1318   3.077        9.7         0.13          0.1          1.27            0.14            0.17         0.35             0.04      0.0         0.08       8.41          0.1         0.21  
    121806   34.4039   -5.1304   5.225       8.75         0.04         0.03          0.63            0.03            0.03         0.94             0.05     0.04         0.04        7.9         0.15         0.13  
    122162   34.2308   -5.1302   2.959        8.7         0.03         0.03          0.57            0.04            0.05         0.84             0.04      0.0         0.09       8.02         0.17         0.16  
    123597    34.366    -5.128   3.798       9.06         0.12         0.05           0.9            0.09            0.05         0.84             0.07     0.18         0.07       8.18         0.14         0.16  
    123837   34.3817   -5.1274   2.617       8.72         0.02         0.02           0.6            0.02            0.02         0.73             0.05      0.0         0.04       7.98         0.15         0.15  
